datetime,outside_temperature_C,calgary_load_MW,thermal_heating_load_kW,COP_Lorenz,COP_Carnot,HP_load_Lorenz_kW_per_unit,HP_load_Carnot_kW_per_unit,total_HP_load_Lorenz_MW,HP_modifier_Lorenz_percent,modified_forecast_Lorenz_MW,total_HP_load_Carnot_MW,HP_modifier_Carnot_percent,modified_forecast_Carnot_MW,estimated_Calgary_HP_count
2024-03-27 12:00:00,4.3,93.9871849,1.7125,6.0,6.0,0.28541666666666665,0.28541666666666665,0.1213734375,0.12913828372361433,94.1085583375,0.1213734375,0.12913828372361433,94.1085583375,425.25
2024-03-27 13:00:00,5.3,95.1733555,1.5875,6.0,6.0,0.26458333333333334,0.26458333333333334,0.11251406250000001,0.11822012779616665,95.2858695625,0.11251406250000001,0.11822012779616665,95.2858695625,425.25
2024-03-27 14:00:00,6.6,93.6411903,1.425,6.0,6.0,0.23750000000000002,0.23750000000000002,0.100996875,0.10785518069178153,93.74218717500001,0.100996875,0.10785518069178153,93.74218717500001,425.25
2024-03-27 15:00:00,5.6,91.7660494,1.55,6.0,6.0,0.25833333333333336,0.25833333333333336,0.10985625000000002,0.11971339151928231,91.87590565,0.10985625000000002,0.11971339151928231,91.87590565,425.25
2024-03-27 16:00:00,5.4,92.8635983,1.575,6.0,6.0,0.2625,0.2625,0.11162812500000001,0.12020654706850833,92.975226425,0.11162812500000001,0.12020654706850833,92.975226425,425.25
2024-03-27 17:00:00,5.2,91.2281403,1.6,6.0,6.0,0.26666666666666666,0.26666666666666666,0.11339999999999999,0.12430375060489968,91.3415403,0.11339999999999999,0.12430375060489968,91.3415403,425.25
2024-03-27 18:00:00,4.6,91.6071583,1.675,6.0,6.0,0.2791666666666667,0.2791666666666667,0.118715625,0.12959208341691353,91.72587392499999,0.118715625,0.12959208341691353,91.72587392499999,425.25
2024-03-27 19:00:00,3.4,92.6773641,1.825,6.0,6.0,0.30416666666666664,0.30416666666666664,0.12934687499999997,0.13956684704631125,92.806710975,0.12934687499999997,0.13956684704631125,92.806710975,425.25
2024-03-27 20:00:00,2.8,90.2536986,1.9,6.0,6.0,0.31666666666666665,0.31666666666666665,0.1346625,0.14920441166274817,90.38836110000001,0.1346625,0.14920441166274817,90.38836110000001,425.25
2024-03-27 21:00:00,0.9,85.3922756,2.1375,6.0,6.0,0.35625,0.35625,0.1514953125,0.17741102627320077,85.54377091250001,0.1514953125,0.17741102627320077,85.54377091250001,425.25
2024-03-27 22:00:00,0.9,82.4250348,2.1375,6.0,6.0,0.35625,0.35625,0.1514953125,0.18379769310088298,82.57653011250001,0.1514953125,0.18379769310088298,82.57653011250001,425.25
2024-03-27 23:00:00,0.9,82.0729566,2.1375,6.0,6.0,0.35625,0.35625,0.1514953125,0.18458615209677973,82.2244519125,0.1514953125,0.18458615209677973,82.2244519125,425.25
2024-03-28 00:00:00,1.4,80.9344093,2.075,6.0,6.0,0.3458333333333334,0.3458333333333334,0.147065625,0.18170964151337793,81.081474925,0.147065625,0.18170964151337793,81.081474925,425.25
2024-03-28 01:00:00,1.5,79.7810494,2.0625,6.0,6.0,0.34375,0.34375,0.1461796875,0.18322607762038287,79.9272290875,0.1461796875,0.18322607762038287,79.9272290875,425.25
2024-03-28 02:00:00,2.2,79.2732081,1.975,6.0,6.0,0.32916666666666666,0.32916666666666666,0.139978125,0.17657683895348747,79.413186225,0.139978125,0.17657683895348747,79.413186225,425.25
2024-03-28 03:00:00,1.0,79.0765637,2.125,6.0,6.0,0.3541666666666667,0.3541666666666667,0.150609375,0.19046019193674193,79.227173075,0.150609375,0.19046019193674193,79.227173075,425.25
2024-03-28 04:00:00,-0.4,79.8504987,2.3,6.0,6.0,0.3833333333333333,0.3833333333333333,0.16301249999999998,0.2041471282633329,80.0135112,0.16301249999999998,0.2041471282633329,80.0135112,425.25
2024-03-28 05:00:00,-1.0,84.0705847,2.375,6.0,6.0,0.3958333333333333,0.3958333333333333,0.168328125,0.20022237932645184,84.238912825,0.168328125,0.20022237932645184,84.238912825,425.25
2024-03-28 06:00:00,-1.5,88.7038908,2.4375,6.0,6.0,0.40625,0.40625,0.1727578125,0.1947578747019291,88.87664861249999,0.1727578125,0.1947578747019291,88.87664861249999,425.25
